address,network,netgroup,asn
2a01:e0a:185:55f0:f4e5:4bf6:690b:85f4,ipv6,2a01:e0a::/32,AS37168
2a03:b0c0:3:d0::e3b:5001,ipv6,2a03:b0c0::/32,AS4766
50.47.167.42,ipv4,50.47.0.0/16,AS20055
216.82.38.46,ipv4,216.82.0.0/16,AS30600
5.189.141.129,ipv4,5.189.0.0/16,AS51167
38.88.125.240,ipv4,38.88.0.0/16,AS174
94.134.6.131,ipv4,94.134.0.0/16,AS8881
2409:8a00:851c:7b40::514,ipv6,2409:8a00::/32,AS9808
161.97.151.9,ipv4,161.97.0.0/16,AS51167
42.2.162.218,ipv4,42.2.0.0/16,AS4760
2001:bc8:701:9:b283:feff:fec6:4e56,ipv6,2001:bc8::/32,AS12876
2001:b07:646b:8074:19f0:1f4b:bd71:6681,ipv6,2001:b07::/32,AS28212
2001:41d0:30e:8e00::,ipv6,2001:41d0::/32,AS16276
165.22.113.168,ipv4,165.22.0.0/16,AS14061
192.99.0.26,ipv4,192.99.0.0/16,AS16276
34.242.157.205,ipv4,34.242.0.0/16,AS8987
54.67.29.114,ipv4,54.67.0.0/16,AS8987
2001:638:a000:4140::ffff:47,ipv6,2001:638::/32,AS680
5.38.172.251,ipv4,5.38.0.0/16,AS5483
39.100.91.211,ipv4,39.100.0.0/16,AS37963
2408:8207:5454:b1a0:78bb:91e:eb07:6912,ipv6,2408:8207::/32,AS4837
130.204.161.3,ipv4,130.204.0.0/16,AS8717
186.233.185.92,ipv4,186.233.0.0/16,AS262287
5.135.156.68,ipv4,5.135.0.0/16,AS16276
104.171.202.244,ipv4,104.171.0.0/16,AS398090
3.81.243.143,ipv4,3.81.0.0/16,AS8987
155.4.214.12,ipv4,155.4.0.0/16,AS8473
68.200.240.55,ipv4,68.200.0.0/16,AS33363
2001:569:fd3a:7f00:712a:73ac:183f:88b5,ipv6,2001:569::/32,AS7922
75.172.62.146,ipv4,75.172.0.0/16,AS209
138.68.173.152,ipv4,138.68.0.0/16,AS14061
46.17.99.47,ipv4,46.17.0.0/16,AS57043
80.90.4.178,ipv4,80.90.0.0/16,AS20546
209.137.198.97,ipv4,209.137.0.0/16,AS21586
183.129.178.205,ipv4,183.129.0.0/16,AS4134
174.89.121.139,ipv4,174.89.0.0/16,AS577
65.109.96.117,ipv4,65.109.0.0/16,AS24940
157.230.104.123,ipv4,157.230.0.0/16,AS14061
2a01:4f8:272:4cd9::2,ipv6,2a01:4f8::/32,AS24940
84.75.139.226,ipv4,84.75.0.0/16,AS6730
95.216.113.252,ipv4,95.216.0.0/16,AS24940
8.209.97.98,ipv4,8.209.0.0/16,AS45102
8.209.70.77,ipv4,8.209.0.0/16,AS45102
2601:603:5300:83b7:0:ff:fe00:4209,ipv6,2601:603::/32,AS7922
185.132.133.59,ipv4,185.132.0.0/16,AS49981
2001:470:88ff:2e::1,ipv6,2001:470:8000::/36,AS6939
2a00:6020:b489:2000:5054:ff:fefc:5ed8,ipv6,2a00:6020::/32,AS60294
128.199.176.221,ipv4,128.199.0.0/16,AS14061
136.244.19.126,ipv4,136.244.0.0/16,AS397412
69.55.55.188,ipv4,69.55.0.0/16,AS14061
99.236.177.52,ipv4,99.236.0.0/16,AS812
2a03:b0c0:3:d0::f3e:3001,ipv6,2a03:b0c0::/32,AS14061
66.29.147.212,ipv4,66.29.0.0/16,AS22612
76.69.202.55,ipv4,76.69.0.0/16,AS577
62.210.89.9,ipv4,62.210.0.0/16,AS12876
2605:a140:3010:4014::1,ipv6,2605:a140::/32,AS51167
65.21.89.196,ipv4,65.21.0.0/16,AS24940
188.166.250.107,ipv4,188.166.0.0/16,AS14061
66.35.84.14,ipv4,66.35.0.0/16,AS2734
202.189.6.226,ipv4,202.189.0.0/16,AS4837
77.120.27.103,ipv4,77.120.0.0/16,AS25229
47.104.221.103,ipv4,47.104.0.0/16,AS37963
2a01:e0a:57b:a0:80d5:5d9b:a4ca:f9ed,ipv6,2a01:e0a::/32,AS749
3.124.65.19,ipv4,3.124.0.0/16,AS8987
202.128.120.95,ipv4,202.128.0.0/16,AS134090
2001:5a8:40c7:f500:7a0d:d50:255e:dbac,ipv6,2001:5a8::/32,AS3320
2.120.23.70,ipv4,2.120.0.0/16,AS5607
128.199.98.15,ipv4,128.199.0.0/16,AS14061
2001:b07:646b:8074:32e8:9243:a337:e60a,ipv6,2001:b07::/32,AS2497
149.202.85.112,ipv4,149.202.0.0/16,AS16276
143.110.240.102,ipv4,143.110.0.0/16,AS14061
2600:3c00::f03c:91ff:fe4b:c52,ipv6,2600:3c00::/32,AS63949
95.176.170.226,ipv4,95.176.0.0/16,AS5603
2001:67c:26b4:ff00::44,ipv6,2001:67c::/32,AS57672
2001:569:fd3a:7f00:3667:ece6:4922:e29e,ipv6,2001:569::/32,AS7922
86.40.163.233,ipv4,86.40.0.0/16,AS5466
194.1.163.112,ipv4,194.1.0.0/16,AS8298
93.205.192.2,ipv4,93.205.0.0/16,AS3320
3.120.189.78,ipv4,3.120.0.0/16,AS8987
42.60.22.223,ipv4,42.60.0.0/16,AS3758
216.215.19.203,ipv4,216.215.0.0/16,AS19800
13.214.213.234,ipv4,13.214.0.0/16,AS8987
2001:470:8ca0:2:7646:a0ff:fe9b:e662,ipv6,2001:470:8000::/36,AS6939
240e:38a:4201:7f00:80b1:8009:c1c:a57b,ipv6,240e:38a::/32,AS7018
65.109.19.78,ipv4,65.109.0.0/16,AS24940
63.155.67.174,ipv4,63.155.0.0/16,AS209
185.25.48.184,ipv4,185.25.0.0/16,AS61272
69.4.94.226,ipv4,69.4.0.0/16,AS55286
195.52.136.78,ipv4,195.52.0.0/16,AS1299
2600:6c54:7100:1ad1:c92e:36d:651:bd18,ipv6,2600:6c54::/32,AS749
2001:19f0:6001:378:5400:4ff:fe8a:20e6,ipv6,2001:19f0::/32,AS20473
2a01:4f8:160:5415::2,ipv6,2a01:4f8::/32,AS24940
95.216.23.120,ipv4,95.216.0.0/16,AS24940
18.222.167.188,ipv4,18.222.0.0/16,AS8987
2a00:ca8:a15:10af:6972:3eab:3192:9404,ipv6,2a00:ca8::/32,AS9299
2606:40:847c:6d6::461:962e,ipv6,2606:40::/32,AS3356
31.17.156.163,ipv4,31.17.0.0/16,AS3209
2a02:c206:2161:3107::1,ipv6,2a02:c206::/32,AS51167
82.31.238.10,ipv4,82.31.0.0/16,AS5089
3.128.212.89,ipv4,3.128.0.0/16,AS16509
31.150.11.37,ipv4,31.150.0.0/16,AS9145
190.210.98.253,ipv4,190.210.0.0/16,AS16814
2001:470:1f09:b14::11,ipv6,2001:470:1000::/36,AS6939
34.65.45.157,ipv4,34.65.0.0/16,AS396982
66.31.232.170,ipv4,66.31.0.0/16,AS7922
3.211.51.136,ipv4,3.211.0.0/16,AS8987
46.21.250.25,ipv4,46.21.0.0/16,AS21100
66.29.129.218,ipv4,66.29.0.0/16,AS22612
135.0.230.212,ipv4,135.0.0.0/16,AS54614
95.250.74.199,ipv4,95.250.0.0/16,AS3269
2001:bc8:1201:71a:2e59:e5ff:fe42:52f4,ipv6,2001:bc8::/32,AS12876
34.249.21.210,ipv4,34.249.0.0/16,AS8987
2406:3003:2002:3a69:f2e8:8260:946f:d81,ipv6,2406:3003::/32,AS25019
34.106.62.115,ipv4,34.106.0.0/16,AS396982
121.43.153.172,ipv4,121.43.0.0/16,AS37963
87.243.135.15,ipv4,87.243.0.0/16,AS35370
193.151.221.14,ipv4,193.151.0.0/16,AS59559
2001:a61:1055:1601:dea6:32ff:fefb:f7da,ipv6,2001:a61::/32,AS8767
2a01:e0a:bf6:8d70:1951:b71c:9d34:d4b0,ipv6,2a01:e0a::/32,AS397086
86.111.155.28,ipv4,86.111.0.0/16,AS60522
74.118.140.132,ipv4,74.118.0.0/16,AS20326
23.175.0.212,ipv4,23.175.0.0/16,AS395502
2a01:4f8:171:1f16::2,ipv6,2a01:4f8::/32,AS24940
2001:19f0:5001:389b:5400:4ff:fe8a:5bc6,ipv6,2001:19f0::/32,AS20473
2a01:4f8:221:26e0::2,ipv6,2a01:4f8::/32,AS24940
24.84.164.50,ipv4,24.84.0.0/16,AS6327
139.59.92.87,ipv4,139.59.0.0/16,AS14061
90.241.30.124,ipv4,90.241.0.0/16,AS5378
2001:470:a:c13::2,ipv6,2001:470::/36,AS6939
61.74.99.193,ipv4,61.74.0.0/16,AS4766
2a01:8740:1:ff2e::9428,ipv6,2a01:8740::/32,AS57344
2803:9800:a007:8391:1fd7:c263:a55b:b9fb,ipv6,2803:9800::/32,AS3794
188.213.92.39,ipv4,188.213.0.0/16,AS206238
65.109.36.44,ipv4,65.109.0.0/16,AS24940
199.217.119.221,ipv4,199.217.0.0/16,AS30083
159.89.9.20,ipv4,159.89.0.0/16,AS14061
47.56.231.218,ipv4,47.56.0.0/16,AS45102
68.197.203.181,ipv4,68.197.0.0/16,AS6128
74.79.123.203,ipv4,74.79.0.0/16,AS11351
2a01:e11:0:c150:acf1:1859:6ed0:b09f,ipv6,2a01:e11::/32,AS9394
2600:1f18:64d9:1603:4436:871e:2bfe:7403,ipv6,2600:1f18::/32,AS4808
